Date : 2020-03-06 14:54:19
Directory : c:\Users\tadak\source\repos\XYZ-To-Do
Total : 533 files,  64140 codes, 4942 comments, 7048 blanks, all 76130 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\teams.component.css                                                                                                                           | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\teams.component.html                                                                                                                          | HTML               |          1 |          2 |          5 |          8 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\teams.component.spec.ts                                                                                                                       | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\teams.component.ts                                                                                                                            | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\assign-autocomplete\assign-autocomplete.component.css                                                                                           | CSS                |        217 |         16 |         37 |        270 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\assign-autocomplete\assign-autocomplete.component.html                                                                                          | HTML               |        149 |          5 |         17 |        171 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\assign-autocomplete\assign-autocomplete.component.spec.ts                                                                                       | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\assign-autocomplete\assign-autocomplete.component.ts                                                                                            | TypeScript         |        130 |         13 |         46 |        189 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\mat-search-bar\mat-search-bar.component.html                                                                                                    | HTML               |         16 |          2 |          4 |         22 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\mat-search-bar\mat-search-bar.component.scss                                                                                                    | SCSS               |         51 |         18 |          6 |         75 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\mat-search-bar\mat-search-bar.component.spec.ts                                                                                                 | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\mat-search-bar\mat-search-bar.component.ts                                                                                                      | TypeScript         |         91 |          2 |         18 |        111 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\quick-search\quick-search.component.css                                                                                                         | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\quick-search\quick-search.component.html                                                                                                        | HTML               |          3 |          0 |          1 |          4 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\quick-search\quick-search.component.ts                                                                                                          | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\quick-search\quick-search.module.ts                                                                                                             | TypeScript         |         22 |          1 |          3 |         26 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\switch-day\switch-day.component.css                                                                                                             | CSS                |        390 |         21 |         37 |        448 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\switch-day\switch-day.component.html                                                                                                            | HTML               |         59 |          7 |         13 |         79 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\switch-day\switch-day.component.spec.ts                                                                                                         | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\switch-day\switch-day.component.ts                                                                                                              | TypeScript         |        309 |         12 |         43 |        364 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\switch-hour\switch-hour.component.css                                                                                                           | CSS                |         49 |          0 |          7 |         56 |
